187,CPRI,PT Capri Nusa Satu Properti Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
188,CPRO,PT Central Proteina Prima Tbk.,General,Basic Industry And Chemicals,Animal Feed
189,CSAP,PT Catur Sentosa Adiprana Tbk.,General,"Trade, Services & Investment",Retail Trade
190,CSIS,PT Cahayasakti Investindo Sukses Tbk.,Property,"Property, Real Estate And Building Construction",Building Construction
191,CSRA,PT Cisadane Sawit Raya Tbk.,General,Agriculture,Plantation
192,CSUL,PT Chandra Sakti Utama Leasing,Financing,Finance,Financial Institution
193,CTBN,PT Citra Tubindo Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
194,CTRA,PT Ciputra Development Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
195,CTRR,PT Ciputra Residence,Property,"Property, Real Estate And Building Construction",Property And Real Estate
196,CTTH,PT Citatah Tbk.,General,Mining,Land / Stone Quarrying
197,DADA,PT Diamond Citra Propertindo Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
198,DART,PT Duta Anggada Realty Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
199,DAYA,PT Duta Intidaya Tbk.,General,"Trade, Services & Investment",Retail Trade
200,DEAL,PT Dewata Freight International Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
201,DEFI,PT Danasupra Erapacific Tbk.,Financing,Finance,Financial Institution
202,DEWA,PT Darma Henwa Tbk.,General,Mining,Coal Mining
203,DFAM,PT Dafam Property Indonesia Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
204,DGIK,PT Nusa Konstruksi Enjiniring Tbk.,Collective,"Property, Real Estate And Building Construction",Building Construction
205,DIGI,PT Arkadia Digital Media Tbk.,General,"Trade, Services & Investment",Computer And Services
206,DILD,PT Intiland Development Tbk.,Financing,"Property, Real Estate And Building Construction",Property And Real Estate
207,DIVA,PT Distribusi Voucher Nusantara Tbk.,General,"Trade, Services & Investment",Retail Trade
208,DKFT,PT Central Omega Resources Tbk.,General,Mining,Metal And Mineral Mining
209,DLTA,PT Delta Djakarta Tbk.,General,Consumer Goods Industry,Food And Beverages
210,DMAS,PT Puradelta Lestari Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
211,DMMX,PT Digital Mediatama Maxima Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
212,DMND,PT Diamond Food Indonesia Tbk.,General,Consumer Goods Industry,Food And Beverages
213,DNAR,PT Bank Dinar Indonesia Tbk.,Financial and Sharia,Finance,Bank
214,DNET,PT Indoritel Makmur Internasional,General,"Trade, Services & Investment",Computer And Services
"",,Tbk.,,,
215,DOID,PT Delta Dunia Makmur Tbk.,General,Mining,Coal Mining
216,DPNS,PT Duta Pertiwi Nusantara Tbk.,General,Basic Industry And Chemicals,Chemicals
217,DPUM,PT Dua Putra Utama Makmur Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
218,DSFI,PT Dharma Samudera Fishing,General,Agriculture,Fishery
"",,Industries Tbk.,,,
219,DSNG,PT Dharma Satya Nusantara Tbk.,General,Agriculture,Plantation
220,DSSA,PT Dian Swastatika Sentosa Tbk.,General,Mining,Coal Mining
221,DUCK,PT Jaya Bersama Indo Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
222,DUTI,PT Duta Pertiwi Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
223,DVLA,PT Darya-Varia Laboratoria Tbk.,General,Consumer Goods Industry,Pharmaceuticals
224,DWGL,PT Dwi Guna Laksana Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
225,DYAN,PT Dyandra Media International Tbk.,General,"Trade, Services & Investment",Others
226,EAST,PT Eastparc Hotel Tbk.,Property,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
227,ECII,PT Electronic City Indonesia Tbk.,General,"Trade, Services & Investment",Retail Trade
228,EKAD,PT Ekadharma International Tbk.,General,Basic Industry And Chemicals,Chemicals
229,ELSA,PT Elnusa Tbk.,General,Mining,Crude Petroleum & Natural Gas Production
230,ELTY,PT Bakrieland Development Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
231,EMDE,PT Megapolitan Developments Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
232,EMTK,PT Elang Mahkota Teknologi Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
233,ENRG,PT Energi Mega Persada Tbk.,General,Mining,Crude Petroleum & Natural Gas Production
234,ENVY,PT Envy Technologies Indonesia Tbk.,General,"Trade, Services & Investment",Computer And Services
235,EPMT,PT Enseval Putera Megatrading Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
236,ERAA,PT Erajaya Swasembada Tbk.,General,"Trade, Services & Investment",Retail Trade
237,ERTX,PT Eratex Djaja Tbk.,General,Miscellaneous Industry,"Textile, Garment"
238,ESIP,PT Sinergi Inti Plastindo Tbk.,General,Basic Industry And Chemicals,Plastics & Packaging
239,ESSA,PT Surya Esa Perkasa Tbk.,General,Mining,Crude Petroleum & Natural Gas Production
240,ESTI,PT Ever Shine Tex Tbk.,General,Miscellaneous Industry,"Textile, Garment"
241,ETWA,PT Eterindo Wahanatama Tbk.,General,Basic Industry And Chemicals,Chemicals
242,EXCL,PT XL Axiata Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Telecommunication
"",,,Infrastructure,,
243,FAST,PT Fast Food Indonesia Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
244,FASW,PT Fajar Surya Wisesa Tbk.,General,Basic Industry And Chemicals,Pulp & Paper
245,FIFA,PT Federal International Finance,Financing,Finance,Financial Institution
246,FILM,PT MD Pictures Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
247,FINN,PT First Indo American Leasing Tbk.,Financing,Finance,Financial Institution
248,FIRE,PT Alfa Energi Investama Tbk.,General,Mining,Coal Mining
249,FISH,PT FKS Multi Agro Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
250,FITT,PT Hotel Fitra International Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
251,FMII,PT Fortune Mate Indonesia Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
252,FOOD,PT Sentra Food Indonesia Tbk.,General,Consumer Goods Industry,Food And Beverages
253,FORU,PT Fortune Indonesia Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
254,FORZ,PT Forza Land Indonesia Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
255,FPNI,PT Lotte Chemical Titan Tbk.,General,Basic Industry And Chemicals,Plastics & Packaging
256,FREN,PT Smartfren Telecom Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Telecommunication
"",,,Infrastructure,,
257,FUJI,PT Fuji Finance Indonesia Tbk.,Financing,Finance,Financial Institution
258,GAMA,PT Gading Development Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
259,GDST,PT Gunawan Dianjaya Steel Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
260,GDYR,PT Goodyear Indonesia Tbk.,General,Miscellaneous Industry,Automotive And Components
261,GEMA,PT Gema Grahasarana Tbk.,General,"Trade, Services & Investment",Others
262,GEMS,PT Golden Energy Mines Tbk.,General,Mining,Coal Mining
263,GGRM,PT Gudang Garam Tbk.,General,Consumer Goods Industry,Tobacco Manufacturers
264,GGRP,PT Gunung Raja Paksi Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
265,GHON,PT Gihon Telekomunikasi Indonesia,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,Tbk.,Infrastructure,,
266,GIAA,PT Garuda Indonesia (Persero) Tbk.,General,"Infrastructure, Utilities  And Transportation",Transportation
267,GJTL,PT Gajah Tunggal Tbk.,General,Miscellaneous Industry,Automotive And Components
268,GLOB,PT Global Teleshop Tbk.,General,"Trade, Services & Investment",Retail Trade
269,GLVA,PT Galva Technologies Tbk.,General,"Trade, Services & Investment",Computer And Services
270,GMFI,PT Garuda Maintenace Facility Aero,General,Miscellaneous Industry,Machinery And Heavy Equipment
"",,Asia Tbk.,,,
271,GMTD,PT Gowa Makassar Tourism,Property,"Property, Real Estate And Building Construction",Property And Real Estate
"",,Development Tbk.,,,
272,GOLD,PT Visi Telekomunikasi Infrastruktur,Property,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,Tbk.,,,
